Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_138_E1_S2,E1,S2,Sample,138,25649.1800633872,1896.60089771922,7142.48273430802,1655.30399578373,32791.6627976952,pool
GS19_GC10_139_E1_S1,E1,S1,Sample,139,8413.00914920946,1126.79048439339,593.614217787016,191.212324807762,9006.62336699648,pool
GS19_GC10_139_E1_S2,E1,S2,Sample,139,8413.00914920946,1126.79048439339,593.614217787016,191.212324807762,9006.62336699648,pool
GS19_GC10_140_E1_S1,E1,S1,Sample,140,466850.32029226,42453.7065733282,192181.997348608,10158.8955814974,659032.317640868,discard
GS19_GC10_140_E1_S2,E1,S2,Sample,140,466850.32029226,42453.7065733282,192181.997348608,10158.8955814974,659032.317640868,discard
GS19_GC10_140_E2_S1,E2,S1,Sample,140,303678.354005066,57143.4818367494,9292.37759877837,1906.6512726265,312970.731603844,keep
GS19_GC10_141_E1_S1,E1,S1,Sample,141,67880.4051806355,24.3491465933839,33558.0636186209,4514.69951205784,101438.468799256,pool
GS19_GC10_141_E1_S2,E1,S2,Sample,141,67880.4051806355,24.3491465933839,33558.0636186209,4514.69951205784,101438.468799256,pool
GS19_GC10_142_E1_S1,E1,S1,Sample,142,6955.1513671875,498.258447647094,517.289829254151,66.4339855313301,7472.44119644165,
GS19_GC10_143_E1_S1,E1,S1,Sample,143,48891.0055440465,1622.52810603252,33375.298486997,5187.30335272921,82266.3040310435,pool
GS19_GC10_143_E1_S2,E1,S2,Sample,143,48891.0055440465,1622.52810603252,33375.298486997,5187.30335272921,82266.3040310435,pool
GS19_GC10_144_E1_S1,E1,S1,Sample,144,62399.8615103709,3811.07368699501,31522.7140123456,7166.20048047071,93922.5755227165,
GS19_GC10_145_E1_S1,E1,S1,Sample,145,104396.813657103,1540.23035233762,29795.3685792555,4108.73909958271,134192.182236359,
GS19_GC10_146_E1_S1,E1,S1,Sample,146,75632.2420560396,4078.09854297281,25479.3805540723,4352.95451951373,101111.622610112,
GS19_GC10_147_E1_S1,E1,S1,Sample,147,97179.7335464343,11952.1537713245,39320.967682695,3566.63096267565,136500.701229129,
GS19_GC10_148_E1_S1,E1,S1,Sample,148,47932.5560439332,16691.5697060512,25474.8756042806,5194.94739349528,73407.4316482138,
GS19_GC10_149_E1_S1,E1,S1,Sample,149,72905.6605586299,6410.89663093472,30919.1480095003,2159.19120812122,103824.80856813,
GS19_GC10_150_E1_S1,E1,S1,Sample,150,38061.0721334986,5460.83744930731,17461.0770812569,2239.75852643326,55522.1492147555,
GS19_GC10_151_E1_S1,E1,S1,Sample,151,61095.6031857557,1333.83155779074,29779.4989957154,953.99841097475,90875.1021814711,
GS19_GC10_152_E1_S1,E1,S1,Sample,152,9725.87973983199,1720.02403824418,914.212435851863,178.693124541529,10640.0921756839,discard
GS19_GC10_152_E2_S1,E2,S1,Sample,152,85341.6724343902,12495.3638465659,32485.3700804479,4937.65784698783,117827.042514838,keep
GS19_GC10_153_E1_S1,E1,S1,Sample,153,7546.94093631793,447.63510740256,,,7546.94093631793,discard
GS19_GC10_153_E2_S1,E2,S1,Sample,153,21643.8971443911,4822.51669661136,2068.65866128076,54.1873802720096,23712.5558056719,keep
GS19_GC10_154_E1_S1,E1,S1,Sample,154,27928.4824598704,1893.30356800003,12157.5563948676,1666.51965766553,40086.038854738,pool
